"sample_id","TLS_Group"
"O14-02301","Low"
"O16-11870","High"
"O16-18464","Low"
"O18-12772","High"
"S09-15833","High"
"S10-09633","Low"
"S11-15267","Low"
"S12-07776","High"
"S12-22754","Low"
"S12-28303","Low"
"S12-35886","High"
"S13-07627","Low"
"S13-08586","High"
"S13-15979","Low"
"S13-33035","Low"
"S14-12928","High"
"S14-13440","High"
"S14-13994","High"
"S14-16118","High"
"S15-00942","High"
"S15-02790","Low"
"S15-03056","Low"
"S15-05781","Low"
"S15-05979","Low"
"S15-12411","Low"
"S15-13623","High"
"S15-20350","Low"
"S15-27036","Low"
"S15-28568","High"
"S16-00356","High"
"S16-11632","Low"
"S16-19596","High"
"S16-20727","Low"
"S16-23506","Low"
"S16-28041","High"
"S16-28729","High"
"S16-30545","High"
"S17-00970","Low"
"S17-08236","Low"
"S17-14190","Low"
"S17-20728","High"
"S17-22163","High"
"S18-03934","High"
"S18-05363","Low"
"S18-09519","High"
"S18-10074","High"
"S18-12553","High"
"S18-15441","High"
"S18-18704","High"
"S18-25097","Low"
"S18-27506","Low"
"S18-30424","Low"
"S18-31022","High"
"S18-32412","Low"
