"sample_id","TLS_Group"
"109418-X-N","High"
"1508560G-N","High"
"1512129I-N","Low"
"1525978B","Low"
"1525978C","Low"
"1525978S","Low"
"1525978T","Low"
"1525978U","High"
"1525978V","High"
"1525978Z7","High"
"1525978Z8","Low"
"1525978Z99","High"
"1609002D","Low"
"1609002E","Low"
"1609002H","Low"
"1609002J","Low"
"1609002K","High"
"1609002N","Low"
"1609002P1","High"
"1612595C","High"
"1625960F","High"
"1625960G","Low"
"1625960H","High"
"1628757F","High"
"1631378A-Y","Low"
"1632152C","High"
"1707649A","High"
"1707649C","High"
"1707649D","High"
"1707649E","High"
"1707649F","High"
"1707649G","Low"
"1713372B","High"
"1713372E","High"
"1736414F","Low"
"1739259-E-Y","High"
"1801211_B-Y","Low"
"1801211-B-Y","Low"
"1801211-C-Y","Low"
"1805427H","Low"
"1805428F-Y","High"
"1809923A","High"
"1809923B","High"
"1810938D-N","Low"
"1810938E-1-N","Low"
"1813206H","High"
"1813206I","Low"
"1814971G","Low"
"1902079B-N","Low"
"1920531A-Y","High"
"1922271A-Y","Low"
"1922917A-N","Low"
"1924942C-Y","High"
"1935769C-Y","Low"
"1941494-C-Y","Low"
"1941494-G-Y","Low"
"1941494-H-Y","Low"
"1949160-C-N","Low"
"2-P001809923A","High"
"2000957A-Y","High"
"200099-O-Y","Low"
"2008628A-Y","Low"
"2010109A-Y","High"
"2010277B-Y","Low"
"2010717A-Y","High"
"2013094B-Y","High"
"201611G-N","Low"
"210190A","High"
"210190C","Low"
"210190F","High"
"210190H","Low"
"210190I","High"
"210190N","Low"
"210190O","Low"
"210190S","Low"
"210190Y","High"
"21609002G","High"
"220725B","Low"
"220725C","Low"
"220725G","High"
"220725K","Low"
"220725L","High"
"220725M","Low"
"223338-F-N","Low"
"224800C","Low"
"224800H","Low"
"224800J","High"
"224800M","Low"
"224800O","High"
"224800P","High"
"224800Q","High"
"224800R","High"
"224800S","High"
"224800T","High"
"224800U","High"
"224800V","High"
"224800W","High"
"225841-L-N","High"
"225841-N-N","High"
"227953A","Low"
"227953I","High"
"3-maintenance1-P001813206B","High"
"312402","Low"
"312402A","Low"
"312402B","High"
"312402D","Low"
"312402F","Low"
"312402G","High"
"312402N","Low"
"312402O","High"
"312402P","High"
"312402Q","High"
"312402R","Low"
"312402S","Low"
"312402T","High"
"312402V","High"
"3maintenance10-P001813872B","Low"
"3maintenance8-P001809923A","High"
"3mainttenance4-P001828187A","Low"
"3mainttenance7-P001731444E","Low"
"411477-A-N","Low"
"411477-A-N-1","Low"
"420978-A-Y","Low"
"420978-D-Y","High"
"902765","Low"
"P001210190K","Low"
"P001625960G","High"
"P001707649A","Low"
"P001713372B","High"
